	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count	Population	Crude Rate
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	165397	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	770496	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1588857	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8012850	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	178562	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	720044	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1488070	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	0	8363715	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	185609	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	704395	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1865524	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8294123	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	201645	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	725391	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1873092	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8749568	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	166441	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	783164	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1607122	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8008879	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	180356	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	740179	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1522044	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8384889	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	189687	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	715732	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1906528	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8327632	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	204438	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	740774	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1937758	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8803235	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	167764	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	801076	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1638249	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8031834	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	182631	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	764751	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1568287	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8421544	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	192436	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	723705	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1918919	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	0	8324411	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	205137	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	751654	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1967515	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8808541	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	170689	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	830936	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1697158	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8112408	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	186463	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	796837	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1641795	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8519885	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	191744	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	730700	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1892436	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8233212	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	203054	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	758250	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1954931	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8728699	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	175082	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	861557	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1767592	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8218027	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	191395	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	831042	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1727399	0.00
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8629074	Suppressed
	"Peritoneum, Omentum and Mesentery"	"21120"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	174104	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	659089	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1729210	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	0	8068476	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	190981	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	675384	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1694914	Suppressed
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	0	8512391	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	164345	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	753885	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1574098	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	7990881	Suppressed
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	176402	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	695648	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1460639	0.00
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8329334	Suppressed
	"Other Digestive Organs"	"21130"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	179574	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	685056	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1802545	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	0	8192397	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	195917	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	701969	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1785843	Suppressed
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	0	8625852	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	165397	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	770496	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1588857	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8012850	Suppressed
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	178562	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	720044	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1488070	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	0	8363715	0.00
	"Other Digestive Organs"	"21130"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	185609	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	704395	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1865524	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8294123	Suppressed
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	201645	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	725391	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1873092	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	0	8749568	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	166441	Suppressed
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	783164	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1607122	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8008879	Suppressed
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	180356	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	740179	0.00
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1522044	Suppressed
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8384889	Suppressed
	"Other Digestive Organs"	"21130"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	189687	0.00
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	715732	0.00
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1906528	0.00
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	0	8327632	0.00
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	204438	0.00
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	740774	0.00
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1937758	0.00
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8803235	Suppressed
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Other Digestive Organs"	"21130"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	167764	0.00
